Reading_ID,Timestamp,Machine_ID,Equipment_Type,Location,Shift,Temperature,Pressure,Vibration,Humidity,Voltage,Current,RPM,Power_Consumption,Machine_Status,Age_Years,Maintenance_Due,Last_Maintenance_Days,Operating_Hours,Load_Percent,Ambient_Temp,Oil_Level,Noise_Level,Uptime_Hours,Downtime_Hours,Production_Count,Defect_Count,Sensor_ID,Firmware_Version,Anomaly_Flag,Temp_Rolling_Mean,Temp_Rolling_STD,Pressure_Rolling_Mean,Vibration_Rolling_Mean,Advanced_Predicted_Anomaly
RD728470,2024-03-02 10:03:00,MCH302,Hydraulic Press,Unit 1,Day,62.86,4.17,49.24,42.03,200.53,42.02,1163,15.74,Faulty,20,NO,57,5,84.27,28.28,93.29,79.58,7590,82,541,7,SEN5727,V3.1.1,0,59.327999999999996,20.33445032451087,4.254,32.372,0
RD784570,2024-05-19 13:30:00,MCH357,Motor,Warehouse 2,Afternoon,74.31,4.19,49.24,54.03,205.61,34.78,1629,30.29,Faulty,5,YES,27,10,50.32,28.0,96.86,42.56,7928,41,276,1,SEN9149,V5.0.7,1,59.327999999999996,20.33445032451087,4.254,32.372,0
RD244108,2024-03-14 22:39:00,MCH300,Hydraulic Press,Unit 3,Morning,49.5,2.51,48.91,67.51,231.83,11.25,1238,45.36,Maintenance,10,NO,74,1,44.96,22.47,21.2,64.39,7231,393,586,3,SEN5267,V2.4.0,0,59.327999999999996,20.33445032451087,4.254,32.372,0
RD530072,2024-05-13 11:42:00,MCH144,Generator,Warehouse 1,Day,80.31,8.54,23.76,44.63,210.89,34.53,1135,24.09,Faulty,11,YES,25,20,69.43,42.38,53.1,67.82,2910,178,192,4,SEN3746,V3.0.6,1,59.327999999999996,20.33445032451087,4.254,32.372,0
RD459255,2024-02-05 23:46:00,MCH652,Generator,Plant B,Day,29.66,1.86,25.93,45.83,205.7,22.85,2719,9.79,Standby,11,NO,21,18,39.8,23.95,64.61,71.41,1699,481,229,9,SEN4444,V2.3.3,0,59.327999999999996,20.33445032451087,4.254,32.372,0
RD326520,2024-04-18 16:25:00,MCH944,CNC Machine,Plant A,Morning,58.57,5.72,14.02,78.21,237.5,25.87,1736,4.43,Idle,17,Yes,58,10,41.46,25.04,69.94,90.62,8524,246,16,6,SEN6033,V5.4.7,0,58.470000000000006,20.23844238077625,4.564,32.372,0
RD771661,2024-06-22 09:27:00,MCH210,Hydraulic Press,Unit 1,Morning,64.76,5.42,7.54,55.58,208.07,25.82,1337,37.99,Maintenance,8,Yes,59,16,48.26,35.94,75.6,86.3,2601,366,316,6,SEN3761,V1.3.5,0,56.56,18.766966989900105,4.8100000000000005,24.032,0
RD539111,2024-01-15 18:34:00,MCH884,Conveyor,Factory 2,Afternoon,27.13,8.27,27.78,37.4,235.52,42.57,2511,47.95,Idle,10,Yes,63,22,51.74,23.16,37.84,40.97,2034,445,945,6,SEN4424,V4.8.8,0,52.086,23.048829254432864,5.962,19.806,1
RD140235,2024-03-13 12:23:00,MCH515,Motor,Unit 3,Afternoon,46.51,2.27,39.43,87.4,227.74,31.58,1109,15.15,Running,1,No,72,20,43.14,15.66,79.0,55.23,132,500,49,9,SEN9216,V4.9.3,0,45.326,16.815199374375556,4.708,22.94,0
RD240057,2024-03-30 21:19:00,MCH312,Turbine,Factory 1,Morning,95.27,3.98,46.5,77.49,205.97,19.68,2213,32.5,Maintenance,6,no,1,0,71.05,42.51,94.68,59.67,731,34,610,10,SEN8890,V1.6.8,0,58.448,25.095063658018486,5.132,27.053999999999995,0
